"OBJECTID","URL","RETURN_VERSION","ORG_EIN","ORG_NAME_L1","ORG_NAME_L2","RETURN_TYPE","TAX_YEAR","F9_08_INFO_SCHED_O_X","F9_08_REV_CONTR_FED_CAMP","F9_08_REV_CONTR_MEMBSHIP_DUE","F9_08_REV_CONTR_FUNDR_EVNT","F9_08_REV_CONTR_RLTD_ORG","F9_08_REV_CONTR_GOVT_GRANT","F9_08_REV_CONTR_OTH","F9_08_REV_CONTR_NONCSH","F9_08_REV_CONTR_TOT","F9_08_REV_PROG_OTH_TOT","F9_08_REV_PROG_OTH_RLTD","F9_08_REV_PROG_OTH_UBIZ","F9_08_REV_PROG_OTH_EXCL","F9_08_REV_PROG_TOT_TOT","F9_08_REV_OTH_INVEST_INCOME_TOT","F9_08_REV_OTH_INVEST_INCOME_RLTD","F9_08_REV_OTH_INVEST_INCOME_UBIZ","F9_08_REV_OTH_INVEST_INCOME_EXCL","F9_08_REV_OTH_INVEST_BOND_TOT","F9_08_REV_OTH_INVEST_BOND_RLTD","F9_08_REV_OTH_INVEST_BOND_UBIZ","F9_08_REV_OTH_INVEST_BOND_EXCL","F9_08_REV_OTH_ROY_TOT","F9_08_REV_OTH_ROY_RLTD","F9_08_REV_OTH_ROY_UBIZ","F9_08_REV_OTH_ROY_EXCL","F9_08_REV_OTH_RENT_GRO_REAL","F9_08_REV_OTH_RENT_GRO_PERS","F9_08_REV_OTH_RENT_LESS_EXP_REAL","F9_08_REV_OTH_RENT_LESS_EXP_PERS","F9_08_REV_OTH_RENT_INCOME_REAL","F9_08_REV_OTH_RENT_INCOME_PERS","F9_08_REV_OTH_RENT_NET_TOT","F9_08_REV_OTH_RENT_NET_RLTD","F9_08_REV_OTH_RENT_NET_UBIZ","F9_08_REV_OTH_RENT_NET_EXCL","F9_08_REV_OTH_SALE_ASSET_SEC","F9_08_REV_OTH_SALE_ASSET_OTH","F9_08_REV_OTH_SALE_ASSET","F9_08_REV_OTH_SALE_LESS_COST_SEC","F9_08_REV_OTH_SALE_LESS_COST_OTH","F9_08_REV_OTH_SALE_LESS_COST","F9_08_REV_OTH_SALE_GAIN_SEC","F9_08_REV_OTH_SALE_GAIN_OTH","F9_08_REV_OTH_SALE_GAIN_NET_TOT","F9_08_REV_OTH_SALE_GAIN_NET_RLTD","F9_08_REV_OTH_SALE_GAIN_NET_UBIZ","F9_08_REV_OTH_SALE_GAIN_NET_EXCL","F9_08_REV_OTH_FUNDR_EVNT_0","F9_08_REV_OTH_FUNDR_EVNT_1","F9_08_REV_OTH_FUNDR_DIRECT_EXP","F9_08_REV_OTH_EVNT_DIRECT_EXP","F9_08_REV_OTH_EVNT_NET_TOT","F9_08_REV_OTH_FUNDR_NET_TOT","F9_08_REV_OTH_FUNDR_NET_RLTD","F9_08_REV_OTH_FUNDR_NET_UBIZ","F9_08_REV_OTH_FUNDR_NET_EXCL","F9_08_REV_OTH_GAMING","F9_08_REV_OTH_GAMING_DIRECT_EXP","F9_08_REV_OTH_GAMING_NET_TOT","F9_08_REV_OTH_GAMING_NET_RLTD","F9_08_REV_OTH_GAMING_NET_UBIZ","F9_08_REV_OTH_GAMING_NET_EXCL","F9_08_REV_OTH_INV_GRO_SALE","F9_08_REV_OTH_INV_COST_GOODS","F9_08_REV_OTH_INV_NET_TOT","F9_08_REV_OTH_INV_NET_RLTD","F9_08_REV_OTH_INV_NET_UBIZ","F9_08_REV_OTH_INV_NET_EXCL","F9_08_REV_MISC_OTH_TOT","F9_08_REV_MISC_OTH_RLTD","F9_08_REV_MISC_OTH_UBIZ","F9_08_REV_MISC_OTH_EXCL","F9_08_REV_MISC_TOT_TOT","F9_08_REV_TOT_TOT","F9_08_REV_TOT_RLTD","F9_08_REV_TOT_UBIZ","F9_08_REV_TOT_EXCL","EIN2"
"https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202231369349302503","https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202231369349302503_public.xml","2020v4.1",30179298,"President and Fellows of Middlebury","College","990",2020,,,,,,9406312,33333551,4702272,42739863,7104143,7104143,,,223883412,75482689,,-3831911,79314600,,,,,41339,,,41339,,,,,,,,,,,287322000,,,241574000,,,45748000,,45748000,,7003001,38744999,,,,,,,,,,,,,,,,,,,,,,,,,,22919,387918222,223879327,3198094,118100938,"EIN-03-0179298"
"https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202103159349305475","https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202103159349305475_public.xml","2020v4.1",43543134,"THE DOUG FLUTIE JR FOUNDATION FOR","AUTISM INC","990",2020,,,,337823,,,787666,4950,1125489,,,,,13704,68906,,,68906,,,,,,,,,,,,,,,,,,,1166251,,,1030363,,,135888,,135888,,,135888,337823,35579,26755,,,8824,,,8824,,,,,,,,,,,,,,,,,,1352811,13704,0,213618,"EIN-04-3543134"
"https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202221959349302302","https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202221959349302302_public.xml","2020v4.0",42259692,"SOUTH SHORE ART CENTER INC",,"990",2020,,,78545,,,87189,155922,,321656,,,,,191027,10600,,,10600,,,,,,,,,,,,,,,,,,,53779,10618,,46827,,,6952,10618,17570,,,17570,,24450,2486,,,21964,,,21964,,,,,,,,,,,,,,,,,,562817,191027,,50134,"EIN-04-2259692"
"https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202102599349200715","https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202102599349200715_public.xml","2020v4.1",43266589,"RESOLVE OF THE BAY STATE INC",,"990EZ",2020,,,7998,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473,,,,,"EIN-04-3266589"
"https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202242249349301219","https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202242249349301219_public.xml","2020v4.2",42104310,"Holyoke Visiting Nurse Association Inc",,"990",2020,,,,,,,21297,,21297,,,,,6590743,47677,,,47677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6659717,6590743,0,47677,"EIN-04-2104310"
"https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202200459349301535","https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202200459349301535_public.xml","2020v4.2",60840436,"BENHAVEN INC",,"990",2020,,,,,,663029,78356,,741385,7463,7463,,,21712194,77156,,,77156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22530735,21712194,0,77156,"EIN-06-0840436"
"https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202133179349300428","https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202133179349300428_public.xml","2020v4.1",50258941,"BETHANY HOME OF RI INC",,"990",2020,,,,,46715,847146,186668,,1080529,,,,,3621004,3212,,,3212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3820,4708565,3621004,0,7032,"EIN-05-0258941"
"https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202102009349301110","https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202102009349301110_public.xml","2020v4.1",20240383,"PORTSMOUTH HISTORICAL SOCIETY",,"990",2020,,,,,,,630053,,630053,,,,,15888,289,,,289,,,,,,,,,49055,,0,,49055,,49055,,,49055,,,,,,,,,,,,,,25459,22388,,,3071,,,3071,,,,,,,31538,15281,16257,16257,,,,,,,60600,775213,32145,0,113015,"EIN-02-0240383"
"https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202230949349300208","https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202230949349300208_public.xml","2020v4.2",42596491,"CONWAY SCHOOL OF LANDSCAPE DESIGN INC",,"990",2020,,,,,,607865,252688,,860553,,,,,17524,8734,,,8734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886811,17524,0,8734,"EIN-04-2596491"
"https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202240679349300729","https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202240679349300729_public.xml","2020v4.2",42592472,"CAPE COD ACADEMY",,"990",2020,,,,183651,,773912,330310,,1287873,,,,,9044820,3053,,,3053,,,,,,,,,59741,,0,,59741,,59741,,,59741,,,,83,,,-83,,-83,,,-83,183651,0,47463,,,-47463,,,-47463,,,,,,,,,,,,,,,,,264073,10612014,9308893,0,15248,"EIN-04-2592472"
