"OBJECTID","URL","RETURN_VERSION","ORG_EIN","ORG_NAME_L1","ORG_NAME_L2","RETURN_TYPE","TAX_YEAR","F9_10_INFO_SCHED_O_X","F9_10_ASSET_CASH_SAVING_BOY","F9_10_ASSET_CASH_SAVING_EOY","F9_10_ASSET_CASH_BOY","F9_10_ASSET_CASH_EOY","F9_10_ASSET_SAVING_BOY","F9_10_ASSET_SAVING_EOY","F9_10_ASSET_PLEDGE_NET_BOY","F9_10_ASSET_PLEDGE_NET_EOY","F9_10_ASSET_ACC_NET_BOY","F9_10_ASSET_ACC_NET_EOY","F9_10_ASSET_LOAN_OFF_BOY","F9_10_ASSET_LOAN_OFF_EOY","F9_10_ASSET_LOAN_DSQ_PERS_BOY","F9_10_ASSET_LOAN_DSQ_PERS_EOY","F9_10_ASSET_NOTE_LOAN_NET_BOY","F9_10_ASSET_NOTE_LOAN_NET_EOY","F9_10_ASSET_INV_SALE_BOY","F9_10_ASSET_INV_SALE_EOY","F9_10_ASSET_EXP_PREPAID_BOY","F9_10_ASSET_EXP_PREPAID_EOY","F9_10_ASSET_LAND_BLDG","F9_10_ASSET_LAND_BLDG_BOY","F9_10_ASSET_LAND_BLDG_EOY","F9_10_ASSET_LAND_BLDG_DEPREC","F9_10_ASSET_LAND_BLDG_NET_BOY","F9_10_ASSET_LAND_BLDG_NET_EOY","F9_10_ASSET_INVEST_SEC_BOY","F9_10_ASSET_INVEST_SEC_EOY","F9_10_ASSET_INVEST_SEC_OTH_BOY","F9_10_ASSET_INVEST_SEC_OTH_EOY","F9_10_ASSET_INVEST_PROG_RLTD_BOY","F9_10_ASSET_INVEST_PROG_RLTD_EOY","F9_10_ASSET_INTANGIBLE_BOY","F9_10_ASSET_INTANGIBLE_EOY","F9_10_ASSET_OTH_BOY","F9_10_ASSET_OTH_BOY_V2","F9_10_ASSET_OTH_EOY","F9_10_ASSET_OTH_EOY_V2","F9_10_ASSET_TOT_BOY","F9_10_ASSET_TOT_EOY","F9_10_LIAB_ACC_PAYABLE_BOY","F9_10_LIAB_ACC_PAYABLE_EOY","F9_10_LIAB_GRANT_PAYABLE_BOY","F9_10_LIAB_GRANT_PAYABLE_EOY","F9_10_LIAB_REV_DEFERRED_BOY","F9_10_LIAB_REV_DEFERRED_EOY","F9_10_LIAB_TAX_EXEMPT_BOND_BOY","F9_10_LIAB_TAX_EXEMPT_BOND_EOY","F9_10_LIAB_ESCROW_ACC_BOY","F9_10_LIAB_ESCROW_ACC_EOY","F9_10_LIAB_LOAN_OFF_BOY","F9_10_LIAB_LOAN_OFF_EOY","F9_10_LIAB_MTG_NOTE_BOY","F9_10_LIAB_MTG_NOTE_EOY","F9_10_LIAB_NOTE_UNSEC_BOY","F9_10_LIAB_NOTE_UNSEC_EOY","F9_10_LIAB_OTH_BOY","F9_10_LIAB_OTH_EOY","F9_10_LIAB_TOT_BOY","F9_10_NAFB_FOLLOW_SFAS117_X","F9_10_LIAB_TOT_EOY","F9_10_NAFB_UNRESTRICT_BOY","F9_10_NAFB_UNRESTRICT_EOY","F9_10_NAFB_RESTRICT_TEMP_BOY","F9_10_NAFB_RESTRICT_TEMP_EOY","F9_10_NAFB_RESTRICT_PERM_BOY","F9_10_NAFB_NO_FOLLOW_SFAS117_X","F9_10_NAFB_RESTRICT_PERM_EOY","F9_10_NAFB_CAP_STCK_BOY","F9_10_NAFB_CAP_STCK_EOY","F9_10_NAFB_CAP_SURPLUS_BOY","F9_10_NAFB_CAP_SURPLUS_EOY","F9_10_NAFB_EARNING_RETAINED_BOY","F9_10_NAFB_EARNING_RETAINED_EOY","F9_10_NAFB_TOT_BOY","F9_10_NAFB_TOT_EOY","F9_10_NAFB_TOT_LIAB_NAFB_BOY","F9_10_NAFB_TOT_LIAB_NAFB_EOY","EIN2"
"https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202141969349301029","https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202141969349301029_public.xml","2019v5.0",42259692,"SOUTH SHORE ART CENTER INC",,"990",2019,,,,47119,113625,,,,,1900,9950,,,,,,,,,2636,1781,1424355,,,955971,508876,468384,,,462978,479631,,,,,,,,,1023509,1073371,28401,38250,,,49113,16955,,,,,,,,,,,95088,236765,172602,,291970,,,,,,,,,,,,,,850907,781401,1023509,1073371,"EIN-04-2259692"
"https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202111329349302436","https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202111329349302436_public.xml","2019v5.2",30179298,"President and Fellows of Middlebury","College","990",2019,,,,11373082,14606149,337679,,19932556,16645411,7196414,3052597,27231,,,,10032577,9173319,644450,645054,3756418,3000113,826938544,,,462400134,366964693,364538410,166410000,182120937,1011114793,954644000,,,,,32429104,,31684947,,1630218997,1580110937,51320991,45006780,,,15910255,11494613,253945278,249923116,10815708,5069804,,,,,19440000,18170063,41699479,35985687,393131711,,365650063,,,,,,,,,,,,,,1237087286,1214460874,1630218997,1580110937,"EIN-03-0179298"
"https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202033219349303108","https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202033219349303108_public.xml","2019v5.1",50258941,"BETHANY HOME OF RI INC",,"990",2019,,,,1112264,1280490,560586,,,,464552,574440,,,,,,,,,16362,24499,6109042,,,3730529,2150630,2378513,34153,37357,,,,,,,4492539,,5204037,,8831086,9499336,290074,294182,,,,,,,1877,1685,,,11275,5453,,,136964,52816,440190,,354136,,,,,,,,,,,,,,8390896,9145200,8831086,9499336,"EIN-05-0258941"
"https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202142289349301634","https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202142289349301634_public.xml","2019v5.2",42104310,"Holyoke Visiting Nurse Association Inc",,"990",2019,,,,9455,100156,152173,511599,,,1263783,1249307,,,,,,,,,78428,54600,494225,,,481538,14281,12687,724649,484210,,,,,,,553432,,566778,,2796201,2979337,957502,1544616,,,,,,,,,,,,,,,1244842,1244842,2202344,,2789458,,,,,,,,,,,,,,593857,189879,2796201,2979337,"EIN-04-2104310"
"https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202120959349300722","https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202120959349300722_public.xml","2019v5.2",60840436,"BENHAVEN INC",,"990",2019,,,,1280295,2818340,,,,,3387147,2679957,,,,,,,,,,,12391297,,,6577132,5252058,5814165,2490732,2213318,,,,,,,9595,,9595,,12419827,13535375,1112694,1468194,,,75504,114305,,,,,,,2106511,2150784,,,0,527497,3294709,,4260780,,,,,,,,,,,,,,9125118,9274595,12419827,13535375,"EIN-06-0840436"
"https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202131049349300108","https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202131049349300108_public.xml","2019v5.2",42596491,"CONWAY SCHOOL OF LANDSCAPE DESIGN INC",,"990",2019,,,,259110,349257,183185,166387,104748,115080,12275,36976,,,,,6884,1985,,,12875,17125,1075132,,,149403,956814,925729,,,116360,126593,,,,,,,,,1652251,1739132,31284,6744,,,26249,7500,,,,,,,831740,799685,,,,,889273,,813929,,,,,,,,,,,,,,762978,925203,1652251,1739132,"EIN-04-2596491"
"https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202110219349300726","https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202110219349300726_public.xml","2019v5.1",42592472,"CAPE COD ACADEMY",,"990",2019,,,,242574,896136,43299,452422,7100,31950,25923,122440,,,,,200,200,,,103044,9458,23315789,,,11376529,12472330,11939260,,,,,,,,,,,,,12894470,13451866,852651,487843,,,879326,1289879,,,,,6750000,8750000,1000000,1000000,,773912,,,9481977,,12301634,,,,,,,,,,,,,,3412493,1150232,12894470,13451866,"EIN-04-2592472"
"https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202012589349200831","https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202012589349200831_public.xml","2019v5.1",43266589,"RESOLVE OF THE BAY STATE INC",,"990EZ",2019,"X",49689,56368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12310,,9587,61999,65955,,,,,,,,,,,,,,,,,,,9273,,16937,,,,,,,,,,,,,,52726,49018,,,"EIN-04-3266589"
"https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202003219349305285","https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202003219349305285_public.xml","2019v5.1",20240383,"PORTSMOUTH HISTORICAL SOCIETY",,"990",2019,,,,100905,40190,,,,15500,,,,,,,,,16707,14170,,,1965499,,,751403,1219065,1214096,,,,,,,,,,,,,1336677,1283956,34282,39305,,,,,,,,,,,,,163757,111748,,,198039,,151053,,,,,,,,,,,,,,1138638,1132903,1336677,1283956,"EIN-02-0240383"
"https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202043219349317459","https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202043219349317459_public.xml","2019v5.1",43543134,"THE DOUG FLUTIE JR FOUNDATION FOR","AUTISM INC","990",2019,,,,91747,33761,340011,484928,79414,47640,10000,,,,,,,,,,16846,11846,19523,,,18228,3003,1295,2346308,2697885,,,,,18290,8022,11730,,7310,,2917349,3292687,14303,15395,370752,430623,,,,,,,,,,,,,85229,79154,470284,,525172,,,,,,,,,,,,,,2447065,2767515,2917349,3292687,"EIN-04-3543134"
